T_C,P_sat_Pa,P_sat_bar,rho_liq,rho_vap,mu_liq_Pas,nu_liq_m2s,sigma_Nm,Bo_1 g (ground),Bo_0.01 g (low-g),Bo_0.001 g (micro-g)
-5.0,501621.49873346766,5.016214987334677,553.4345604755262,10.637156021589945,0.0001251867150080138,2.2619967011176522e-07,0.010843810104946127,11265.121961628762,112.65121961628762,11.265121961628761
-4.5,509453.2575719018,5.094532575719017,552.7117758244877,10.797479053465178,0.00012459390504762342,2.2542292474547876e-07,0.01077690197106679,11320.25762565081,113.2025762565081,11.32025762565081
-4.0,517375.5296657386,5.173755296657386,551.9872517215215,10.959702091140679,0.00012400443233482475,2.2465089899827107e-07,0.010710058920802215,11375.977203971055,113.75977203971055,11.375977203971054
-3.5,525388.9585366094,5.253889585366094,551.2609714142574,11.12384350828772,0.0001234182606792196,2.2388354532444158e-07,0.010643281232671692,11432.29002930973,114.3229002930973,11.43229002930973
-3.0,533494.1890570286,5.334941890570287,550.5329179318057,11.289921889518347,0.00012283535422370472,2.231208166174003e-07,0.0105765691878647,11489.205634840717,114.89205634840717,11.489205634840717
-2.5,541691.8674516644,5.416918674516644,549.8030740804492,11.45795603461826,0.00012225567743890528,2.2236266620258362e-07,0.010509923070280827,11546.73375959968,115.4673375959968,11.546733759599677
-2.0,549982.6412990711,5.4998264129907115,549.0714224392422,11.627964962884844,0.00012167919511777138,2.216090478306324e-07,0.01044334316657053,11604.884354068423,116.04884354068423,11.604884354068421
-1.5,558367.1595345145,5.5836715953451455,548.3379453554829,11.799967917576902,0.00012110587237017522,2.208599156705511e-07,0.01037682976617669,11663.667585941597,116.63667585941594,11.663667585941594
-1.0,566846.0724514243,5.668460724514243,547.6026249400777,11.97398437047572,0.00012053567461762951,2.2011522430305976e-07,0.010310383161377034,11723.093846083171,117.2309384608317,11.723093846083168
-0.5,575420.0317054371,5.754200317054371,546.8654430627814,12.150034026564608,0.00011996856758801079,2.193749287139325e-07,0.010244003647327455,11783.173754679741,117.83173754679743,11.78317375467974
0.0,584089.6903177577,5.840896903177577,546.1263813473132,12.32813682882797,0.00011940451731043388,2.1863898428759053e-07,0.010177691522106203,11843.918167598385,118.43918167598385,11.843918167598384
0.5,592855.702678906,5.92855702678906,545.3854211663481,12.508312963174461,0.00011884349011007328,2.1790734680057537e-07,0.01011144708675903,11905.338182957059,119.05338182957058,11.905338182957056
1.0,601718.7245539194,6.017187245539194,544.642543636373,12.69058286348815,0.00011828545260318159,2.1717997241536476e-07,0.010045270645345251,11967.44514791584,119.67445147915839,11.967445147915837
1.5,610679.4130865544,6.106794130865544,543.8977296124052,12.87496721681135,0.00011773037169200339,2.1645681767397876e-07,0.009979162504984837,12030.250665697578,120.30250665697577,12.030250665697576
2.0,619738.426805837,6.19738426805837,543.1509596825782,13.061486968663646,0.00011717821455989864,2.1573783949194995e-07,0.009913122975906435,12093.76660284746,120.93766602847462,12.09376660284746
2.5,628896.4256314008,6.288964256314008,542.4022141625726,13.25016332850079,0.00011662894866641257,2.1502299515218372e-07,0.009847152371496484,12158.005096740426,121.58005096740428,12.158005096740425
3.0,638154.0708807571,6.38154070880757,541.6514730899023,13.441017775317833,0.00011608254174243295,2.143122422989622e-07,0.009781251008349338,12222.978563346847,122.22978563346847,12.222978563346846
3.5,647512.0252759407,6.475120252759407,540.8987162180489,13.634072063401966,0.00011553896178540236,2.136055389320353e-07,0.009715419206318516,12288.699705266707,122.88699705266707,12.288699705266707
