T_C,P_sat_Pa,P_sat_bar,rho_liq,rho_vap,mu_liq_Pas,nu_liq_m2s,sigma_Nm,Bo_1 g (ground),Bo_0.01 g (low-g),Bo_0.001 g (micro-g)
-5.0,2740100.765270692,27.40100765270692,931.7006943647331,73.44320402997116,9.80570389844612e-05,1.0524521402371606e-07,0.006282935263939072,32731.458645449125,327.3145864544913,32.73145864544912
-4.5,2776675.874322168,27.76675874322168,929.3047377088891,74.5402480367135,9.74394037201036e-05,1.0485193905320123e-07,0.006191621528688987,33128.76720264049,331.287672026405,33.128767202640496
-4.0,2813605.486620711,28.13605486620711,926.8945803526103,75.65324371754517,9.68237919339691e-05,1.0446041436247829e-07,0.006100535407733652,33536.20503357337,335.3620503357338,33.536205033573374
-3.5,2850891.8433819055,28.508918433819055,924.4699425517517,76.78250009922218,9.621013932216801e-05,1.040705975324689e-07,0.006009679142359531,33954.16348128355,339.54163481283547,33.954163481283544
-3.0,2888537.2017723396,28.885372017723398,922.0305352077128,77.92833613684192,9.559838129244101e-05,1.0368244612517615e-07,0.00591905502427354,34383.05422894769,343.8305422894769,34.383054228947685
-2.5,2926543.835460906,29.26543835460906,919.5760594213956,79.0910811746789,9.49884529198961e-05,1.0329591766412838e-07,0.005828665397391358,34823.31063413403,348.2331063413403,34.82331063413403
-2.0,2964914.0351953628,29.649140351953626,917.1062060200201,80.27107543462347,9.438028890082433e-05,1.0291096961431318e-07,0.005738512659712899,35275.38916920269,352.75389169202697,35.27538916920269
-1.5,3003650.1094048982,30.036501094048983,914.6206550547672,81.4686705342743,9.377382350443362e-05,1.025275593615568e-07,0.005648599265290479,35739.770977819906,357.3977097781991,35.73977097781991
-1.0,3042754.38483012,30.4275438483012,912.1190752670509,82.68423003688858,9.316899052231331e-05,1.0214564419128635e-07,0.005558927726295467,36216.96355863341,362.1696355863341,36.2169635586334
-0.5,3082229.207182105,30.822292071821053,909.6011235210146,83.91813003562675,9.256572321543438e-05,1.0176518126661682e-07,0.00546950061518985,36707.50258837059,367.0750258837059,36.70750258837059
0.0,3122076.9418321503,31.220769418321503,907.0664441996385,85.1707597747173,9.19639542584637e-05,1.0138612760568963e-07,0.005380320567009367,37211.95389799097,372.1195389799097,37.211953897990966
0.5,3162299.9745335407,31.622999745335406,904.5146685615896,86.4425223104282,9.136361568115628e-05,1.010084400581893e-07,0.005291390281765689,37730.915617064595,377.30915617064596,37.73091561706459
1.0,3202900.712178378,32.02900712178378,901.9454140556975,87.73383521499197,9.07646388065637e-05,1.0063207528095347e-07,0.005202712526975542,38265.020503290194,382.6502050329019,38.26502050329018
1.5,3243881.5835900703,32.438815835900705,899.3582835896094,89.0451313269407,9.016695418576304e-05,1.0025698971257552e-07,0.0051142901403253395,38814.93847603424,388.14938476034234,38.81493847603423
2.0,3285245.040354325,32.85245040354325,896.75286474888,90.37685955161275,8.957049152880095e-05,9.988313954690694e-08,0.005026126032480734,39381.37937500182,393.8137937500183,39.38137937500182
2.5,3326993.55769209,33.2699355769209,894.1287289623763,91.72948571599945,8.897517963149804e-05,9.9510480705337e-08,0.004938223190051053,39965.095967681475,399.6509596768148,39.96509596768147
3.0,3369129.635373887,33.69129635373887,891.4854306094286,93.10349348246943,8.838094629772672e-05,9.913896880772196e-08,0.004850584678719665,40566.88723207804,405.6688723207804,40.56688723207803
3.5,3411655.798682135,34.11655798682135,888.8225060637719,94.49938532640085,8.778771825675063e-05,9.87685591418316e-08,0.004763213646552162,41187.6019445263,411.87601944526307,41.1876019445263
4.0,3454574.5994215766,34.545745994215764,886.1394726687477,95.9176835832396,8.719542107515208e-05,9.83992066311519e-08,0.0046761133274952635,41828.14260611126,418.2814260611126,41.82814260611125
4.5,3497888.6169820465,34.97888616982046,883.435827637685,97.35893157108276,8.660397906283882e-05,9.803086580087951e-08,0.00458928704508068,42489.469745490715,424.89469745490715,42.48946974549071
5.0,3541600.4594569197,35.416004594569195,880.7110468727449,98.82369479552627,8.601331517255843e-05,9.766349074191482e-08,0.004502738216349159,43172.60664081043,431.7260664081043,43.17260664081042
5.5,3585712.7648210567,35.857127648210565,877.9645836947866,100.31256224424078,8.542335089230309e-05,9.729703507265783e-08,0.004416470356011677,43878.6445090133,438.786445090133,43.87864450901329
6.0,3630228.2021720354,36.30228202172035,875.1958674759697,101.82614777955432,8.483400612989793e-05,9.693145189836859e-08,0.004330487080866096,44608.74821730168,446.0874821730168,44.60874821730168
